row_id,char,unicode,human_structure,zdic_radical,zdic_total_strokes,zdic_structure,structure_relation,inventory_unihan_radical,inventory_baseline_strokes,inventory_unihan_strokes,parse_status,source_kind,zdic_url
PENC_169,𫢸,U+2B8B8,左右,亻,10,左右,AGREE,9,10,10,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AB%A2%B8
PENC_170,𫫇,U+2BAC7,左右,,,,GAP_OR_DISAGREE,30,13,13,NETWORK_OR_PARSE_GAP,online_fetch_failed,https://www.zdic.net/hans/%F0%AB%AB%87
PENC_171,𫭟,U+2BB5F,左右,土,7,左右,AGREE,32,7,7,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AB%AD%9F
PENC_172,𫭢,U+2BB62,左右,土,7,左右,AGREE,32,7,7,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AB%AD%A2
PENC_173,𫭼,U+2BB7C,左右,土,10,左右,AGREE,32,10,10,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AB%AD%BC
PENC_174,𫮃,U+2BB83,左右,土,11,左右,AGREE,32,11,11,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AB%AE%83
PENC_175,𫰛,U+2BC1B,左右,女,8,左右,AGREE,38,8,8,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AB%B0%9B
PENC_176,𫵷,U+2BD77,左右,山,7,左右,AGREE,46,7,7,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AB%B5%B7
PENC_177,𫶇,U+2BD87,左右,山,12,左右,AGREE,46,12,12,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AB%B6%87
PENC_178,𫷷,U+2BDF7,左上包,广,12,左上包,AGREE,53,12,12,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AB%B7%B7
PENC_179,𫸩,U+2BE29,左右,弓,7,左右,AGREE,57,7,7,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AB%B8%A9
PENC_180,𬀩,U+2C029,左右,日,8,左右,AGREE,72,8,8,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%80%A9
PENC_181,𬀪,U+2C02A,左右,日,8,,GAP_OR_DISAGREE,72,8,8,PARSED_WITHOUT_NORMALIZED_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%80%AA
PENC_182,𬂩,U+2C0A9,左右,木,10,左右,AGREE,75,10,10,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%82%A9
PENC_183,𬃊,U+2C0CA,左右,木,12,左右,AGREE,75,12,12,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%83%8A
PENC_184,𬇕,U+2C1D5,左右,氵,6,左右,AGREE,85,6,6,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%87%95
PENC_185,𬇙,U+2C1D9,左右,,,,GAP_OR_DISAGREE,85,7,7,NETWORK_OR_PARSE_GAP,online_fetch_failed,https://www.zdic.net/hans/%F0%AC%87%99
PENC_186,𬇹,U+2C1F9,左右,氵,11,左右,AGREE,85,11,11,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%87%B9
PENC_187,𬉼,U+2C27C,左右,火,8,左右,AGREE,86,8,8,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%89%BC
PENC_188,𬊈,U+2C288,左右,火,10,左右,AGREE,86,10,10,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%8A%88
PENC_189,𬊤,U+2C2A4,左右,火,12,左右,AGREE,86,12,12,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%8A%A4
PENC_190,𬌗,U+2C317,左右,牙,10,左右,AGREE,92,10,10,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%8C%97
PENC_191,𬍛,U+2C35B,左右,王,9,左右,AGREE,96,9,9,PARSED_WITH_STRUCTURE,online_fetch,https://www.zdic.net/hans/%F0%AC%8D%9B
